Course Number,Course Title,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
PERS 20103,Intermediate Persian III. 100 Units.,"This sequence deepens and expands the students' knowledge of modern Persian. The goal is to enable the students to gain proficiency in all skills of language acquisition at a higher level. In this sequence, the students learn more complex grammatical structures and gain wider vocabulary through reading paragraph-length texts on a variety of topics related to Persian language, literature, and culture. Students will also be familiarized with Persian news and media terminology. Class meets four hours a week with the instructor and one hour with a native informant who conducts grammatical drills and Persian conversation.",Spring,,PERS 20202 or consent of the instructor,Pouneh Shabani-Jadidi
PERS 20331,Love and War: The Romance and Epic Traditions in Premodern Persian. 100 Units.,"This advanced reading course introduces students to the intertwined epic and romance genres in premodern Persian. Through engagement with the original sources, students will become familiar with the vocabulary, grammatical features, poetic topoi, and metrical rules necessary to read, understand, and analyze key selections from Ferdowsi, Neẓāmi, Amir Khosrow, Jāmi, and other poets. In addition to developing their linguistic skills and familiarizing themselves with central texts of the premodern Persian canon, students will also engage with both Persian- and English-language scholarship on the tradition. This course is open to those who have completed two years of Persian or the equivalent, or are currently enrolled in the second year.",Winter,PERS 30331,"two years of Persian or the equivalent, or are currently enrolled in the second year.","O’Malley, Austin"
PERS 29021,Reading Indo-Persian harmonized prose: Bahār-i dānish. 100 Units.,"In this course, we will read excerpts from one of the most popular collections of stories written in harmonized (aka ornate) prose in Mughal India: ʿInāyatallāh's Bahār-i dānish. We will use several editions of the texts as well as commentaries and translations and focus on grammar, rhetoric, and the various strategies one may use to render Persian harmonized prose into English.",Winter,"PERS 39021, SALC 29021, SALC 39021",,Thibaut d'Hubert
TURK 10101-10102-10103,Elementary Turkish I-II-III.,"This sequence features proficiency-based instruction emphasizing grammar in modern Turkish. This sequence consists of reading and listening comprehension, as well as grammar exercises and basic writing in Turkish. Modern stories and contemporary articles are read at the end of the courses.",,,,
TURK 10101,Beginning Modern Turkish. 100 Units.,"This sequence features proficiency-based instruction emphasizing grammar in modern Turkish. This sequence consists of reading and listening comprehension, as well as grammar exercises and basic writing in Turkish. Modern stories and contemporary articles are read at the end of the courses.",Autumn,,,Kagan Arik
TURK 10102,Elementary Turkish II. 100 Units.,Elementary Turkish (First Year),Winter,,TURK 10101,Kagan Arik
TURK 10103,Elementary Turkish III. 100 Units.,Elementary Turkish (First Year),Spring,,TURK 10102,K. Arik
TURK 10502,Introduction to Turkic Languages II. 100 Units.,"The second quarter of a two-section course in which Elementary Kazakh and Elementary Uzbek will be offered as one class, with the option for students to study one or the other, or both simultaneously.",Winter,"UZBK 10502, KAZK 10502",TURK 10501,Kagan Arik
TURK 15000,Turkish in Istanbul. 100 Units.,TBD,,,,
TURK 15001,Elementary Turkish in Istanbul. 100 Units.,Elementary Turkish in Istanbul,,,,
TURK 15002,Elementary Turkish in Istanbul. 100 Units.,,,,,
TURK 15003,Intermediate Turkish in Istanbul. 100 Units.,,,,,
TURK 15004,Intermediate Turkish in Istanbul. 100 Units.,,,,,
TURK 15005,Advanced Turkish in Istanbul. 100 Units.,,,,,
TURK 20101-20102-20103,Intermediate Turkish I-II-III.,"This sequence features proficiency-based instruction emphasizing speaking and writing skills as well as reading and listening comprehension at the intermediate to advanced levels in modern Turkish. Modern short stories, novel excerpts, academic and journalistic articles form the basis for an introduction to modern Turkish literature. Cultural units consisting of films and web-based materials are also used extensively in this course, which is designed to bring the intermediate speaker to an advanced level of proficiency.",,,,
TURK 20101,Intermediate Turkish I. 100 Units.,"This sequence features proficiency-based instruction emphasizing speaking and writing skills as well as reading and listening comprehension at the intermediate to advanced levels in modern Turkish. Modern short stories, novel excerpts, academic and journalistic articles form the basis for an introduction to modern Turkish literature. Cultural units consisting of films and web-based materials are also used extensively in this course, which is designed to bring the intermediate speaker to an advanced level of proficiency. Prerequisite(s): TURK 10103, or equivalent with intermediate level proficiency test.",Autumn,,"TURK 10103, or equivalent with intermediate level proficiency test.",Helga Anetshofer
TURK 20102,Intermediate Turkish II. 100 Units.,"This sequence features proficiency-based instruction emphasizing speaking and writing skills as well as reading and listening comprehension at the intermediate to advanced levels in modern Turkish. Modern short stories, novel excerpts, academic and journalistic articles form the basis for an introduction to modern Turkish literature. Cultural units consisting of films and web-based materials are also used extensively in this course, which is designed to bring the intermediate speaker to an advanced level of proficiency.",Winter,,TURK 20101,Helga Anetshofer
TURK 20103,Intermediate Turkish III. 100 Units.,"This sequence features proficiency-based instruction emphasizing speaking and writing skills as well as reading and listening comprehension at the intermediate to advanced levels in modern Turkish. Modern short stories, novel excerpts, academic and journalistic articles form the basis for an introduction to modern Turkish literature. Cultural units consisting of films and web-based materials are also used extensively in this course, which is designed to bring the intermediate speaker to an advanced level of proficiency.",Spring,,TURK 20102,Helga Anetshofer
TURK 20123,Summer Intensive Intermediate Turkish. 300 Units.,"Summer Intensive Intermediate Turkish enables students to develop strong intermediate speaking, listening, reading and writing skills and further solidify their foundation and proficiency in Turkish. Students study Turkish as it is used in authentic media, literature, and film, and gain familiarity with Turkish culture and civilization. The course will also address the needs of those preparing to study Ottoman. The first half of the course emphasizes completing skills acquired in Beginning Turkish and improving competency, while the second half further deepens students' proficiency, using an introductory sample of authentic textual and audio-visual materials, and excerpts from Turkish literature and texts, ranging from late Ottoman and early Republican period to the present time. Students will have 25 contact hours per week in this course, including synchronous and asynchronous online class time with the instructor, and time spent similarly with the native language assistant. Several hours will be allocated each week to cultural activities such as viewing films, clips, and presentations, and virtual conversation tables. Intensive Intermediate Turkish is the equivalent of the 20100-20200-20300 sequence offered during the regular academic year at the University of Chicago.",Summer,,Successful completion of TURK 10300 or equivalent placement.,Staff
TURK 29701,Independent Study: Old Turkic. 100 Units.,Independent study in Old Turkic.,Autumn,,,
UGAR 20101-20102-20103,Ugaritic I-II-III.,Elementary Ugaritic,,,,
UGAR 20101,Ugaritic I. 100 Units.,First readings in texts in the Ugaritic language (1250-1185BC).,Autumn,,Second-year standing and one year of Classical Hebrew,D. Pardee
UGAR 20102,Ugaritic II. 100 Units.,"Continued reading of texts in the Ugaritic language, emphasis on prose texts.",Winter,,UGAR 20101,D. Pardee
UGAR 20103,Ugaritic III. 100 Units.,"Continued reading of texts in the Ugaritic language, emphasis on prose texts.",Spring,,UGAR 20102,D. Pardee
UZBK 10103,Elementary Uzbek-3. 100 Units.,TBD,,,,
UZBK 29700,Independent Study: Uzbek. 100 Units.,Independent Study: Uzbek - Continuation of Introduction to Turkic Languages,Spring,,TURK 10502,Kagan Arik
MENG 00211,Collaborative Learning in Molecular Engineering (CLIME) for Principles of Engineering Analysis. 000 Units.,"This optional workshop is for students who are concurrently enrolled in MENG 21100 Principles of Engineering Analysis I. CLIME for MENG 21100 provides students with an in-depth and applied understanding of foundational engineering concepts through weekly problem sessions that augment the MENG 21100 course. Sessions consist of active small group discussions, in a collaborative environment fostered by undergraduate team leaders, and rigorous problem sets designed to develop analytical intuition and critical thinking skills. Success in CLIME is primarily achieved through consistent engagement. Therefore, grades in this zero-credit course are assigned P/F based on student attendance and level of participation.",,,,
MENG 00213,Collaborative Learning in Molecular Engineering (CLIME) for Engineering Quantum Mechanics. 000 Units.,"This optional workshop is for students who are concurrently enrolled in MENG 21300 Engineering Quantum Mechanics. CLIME for MENG 21300 provides students with fundamental quantum mechanics concepts, with an emphasis on their mathematical application, through weekly problem sessions that augment the MENG 21300 course. Sessions consist of active small group discussions, in a collaborative environment fostered by undergraduate team leaders, and rigorous problem sets designed to develop analytical intuition and critical thinking skills. Success in CLIME is primarily achieved through consistent engagement. Therefore, grades in this zero-credit course are assigned P/F based on student attendance and level of participation.",,,,
MENG 00214,Collaborative Learning in Molecular Engineering (CLIME) for Molecular Engineering Thermodynamics. 000 Units.,"This optional workshop is for students who are concurrently enrolled in MENG 21400 Molecular Engineering Thermodynamics. CLIME for MENG 21400 provides students with fundamental thermodynamics concepts, with an emphasis on their mathematical implementation and engineering applications, through weekly problem sessions that augment the MENG 21400 course. Sessions consist of active small group discussions, in a collaborative environment fostered by undergraduate team leaders, and rigorous problem sets designed to develop analytical intuition and critical thinking skills. Success in CLIME is primarily achieved through consistent engagement. Therefore, grades in this zero-credit course are assigned P/F based on student attendance and level of participation.",,,,
MENG 20000,Introduction to Emerging Technologies. 100 Units.,"This course will examine five emerging technologies (stem cells in regenerative medicine, quantum computing, water purification, new batteries, etc.) over two weeks each. The first of the two weeks will present the basic science underlying the emerging technology; the second of the two weeks will discuss the hurdles that must be addressed successfully to convert a good scientific concept into a commercial product that addresses needs in the market place.",Autumn,MENG 30000,Completion of the general education requirements in mathematics and physical or biological sciences,Terry Johnson
MENG 20100,Engineering Design Principles and Practice for Everyone. 100 Units.,"Design concepts underpin almost every product, software, and institution we interact with daily. Many students lack a fundamental understanding of the principles of design which result in how modern products, ideas, and tools are developed. This is an introductory course, which seeks to introduce students to design in theory and practice. It examines the process of applying engineering principles to the iterative design loop and how these are implemented in practice. Emphasis is placed on the practice of design through a selected project and working with a team to achieve specific design specifications or goals. The course emphasizes iterative problem solving, design, team-oriented projects, and the soft skills that accompany their successful implementation.",Winter,,"MENG 20000, and Completion of the general education requirements in mathematics and physical or biological sciences.",Aaron Esser-Kahn
MENG 20400,Commercializing Products with Molecular Engineering. 100 Units.,"Many technologies and products that have been successfully commercialized benefit from engineering at the molecular scale. This course will present case studies of such technologies and products, including those drawn from the fields of pharmaceuticals (e.g., biologics, nanoparticle-based drugs, and excipients for enhanced drug solubility), food products (e.g., Cavamax by Wacker Chemie that applies beta-cyclodextrin for molecular encapsulation to improve flavor solubility), and industrial products (e.g., Febreze Air freshener, sunscreens with UV protection, photographic films, and slurries for polishing surfaces). Each case study will examine: the unmet market need addressed by the product, the science behind the molecular engineering of the technology, the background/history of the technology, and key attributes/decisions made by inventors along the pathway to commercialization. Upon completion of the course, students will be able to understand the overall process for developing a new technology/product, outline the steps to design the key critical-to-quality (CTQ) attributes, describe how to monetize a technology/product, and recognize the avenues available to protect the technology/product or create barriers to entry to the market.",Spring,MENG 30400,MENG 20000 or MENG 21100,"Atul Khare, Kathleen Akers"
MENG 21100-21200,Principles of Engineering Analysis I and II.,"The courses in Engineering Analysis provide a foundation for engineering problem solving and quantitative analysis. Skills in developing mathematical models that describe biological, chemical, or physical systems will be acquired, including defining the system and system boundaries, simplifying complex systems through the application and justification of engineering assumptions, and implementing engineering data. Applied mathematical and computational tools to solve such models will be introduced. Also emphasized will be the topics of dimensions and units, scaling analyses, and data representation and visualization.",,,,
MENG 21100,Principles of Engineering Analysis I. 100 Units.,"The first quarter of Engineering Analysis introduces engineering students to the derivation and solution of balance equations for intensive properties such as mass, energy, momentum, and charge in a system. Students will develop algebraic, differential, and integral balances for continuous, transient and steady-state processes. Material balances will be considered for systems with multiple inlets/outlets and with recycle, multicomponent mixtures, and systems with phase changes and chemical reactions. Energy balances in open and closed steady-state systems will be introduced, as will mechanical energy and momentum balances of importance in the flow of fluids in the derivation and application of Bernoulli's equation. Skills in basic structured programming and data visualization in Python will be acquired, and simple algorithm development will be emphasized for numerical methods such as root finding.",Autumn,,"PHYS 13300 or PHYS 14300, and CHEM 11300 or CHEM 12300",Mark Stoykovich
MENG 21200,Principles of Engineering Analysis II. 100 Units.,"The second quarter of Engineering Analysis considers advanced energy balances for isothermal and adiabatic processes, systems with chemical reactions and phase changes, and systems under non-steady state conditions. In addition, the conservation of charge, Kirchhoff's current and voltage laws, and dynamic systems of charge and electrical energy will be discussed. Throughout the course, students will learn advanced numerical and computational methods in Python for solving systems of linear and non-linear equations, general minimization techniques, optimization strategies, and regression analysis. Numerical integration including the Euler and Runge-Kutta methods, as well as methods for solving ODEs (i.e., initial value problems and boundary value problems), will also be introduced.",Winter,,MENG 21100 and MATH 18500,Mark Stoykovich
MENG 21300,Engineering Quantum Mechanics. 100 Units.,"Quantum mechanics is a fundamental physical theory describing the behavior of systems on small length scales, and underlies a variety of basic phenomena in physics, chemistry and biology. It also is the basis of some of the most revolutionary technologies of the 20th century (e.g., the transistor and the laser), and will likely form the basis of even more radical quantum technologies. This course will provide students with a broad introduction to quantum mechanics, and will emphasize both a qualitative and quantitative appreciation of many of its main principles and its relevance to technology and engineering. Topics to be covered include the quantization of light and atomic orbitals, wavefunctions and probability amplitudes, the Schrodinger equation, and the basic quantum mechanics of atoms and molecules. A basic introduction to quantum bits and quantum information technology will also be provided.",Winter,,"PHYS 13300 or 14300, AND MATH 18500","Aashish Clerk, Peter Maurer"
MENG 21400,Molecular Engineering Thermodynamics. 100 Units.,"Molecular thermodynamics integrates concepts from classical thermodynamics, statistical mechanics, and chemical physics to describe the properties of matter and behavior of systems at equilibrium. This course introduces thermodynamics for molecular engineers starting with the postulates of thermodynamics and the thermodynamic properties of pure substances. The concept of thermodynamic stability and the molecular origins of phase transitions will be developed to predict the phase diagrams of pure substances. Engineering applications relying on thermodynamic cycles involving flow or phase changes, including engines, heat pumps, and refrigeration, will be analyzed. Finally, an introduction to statistical thermodynamics will be provided to establish the relationship between intermolecular forces and macroscopic properties through the definition of ensembles, probability distribution functions, and partition functions, as well as the consideration of fluctuations in thermodynamic variables.",Spring,,MENG 21300,Chong Liu
MENG 21500,Molecular Engineering Transport Phenomena. 100 Units.,"This course introduces students to continuum mechanics, with a focus on energy and mass balances. Starting with an overview of the physical and mathematical basis of diffusion, the course will cover definitions of flux of heat and mass, setting up differential equations and boundary conditions that describe mass and energy transport, scaling and nondimensional analysis, and solution methods for common types of problems including unsteady-state problems and systems with chemical reactions.",Autumn,,MENG 21100-21200,Melody Swartz
MENG 21800-21900,Engineering Design.,"The project-based design courses combine fundamental science and engineering skills to solve open-ended and challenging engineering problems selected among those encountered in the bioengineering, chemical and materials engineering, and quantum engineering fields. Specific objectives for the courses include learning how to define a technical problem and how to propose solutions, applying scientific and engineering knowledge to solve real-world problems, and developing an operating plan with defined sub-tasks and project timelines. Additional emphasis will be placed on enhancing skills to communicate results clearly and concisely to various audiences, access and manage resources to achieve objectives, work as part of a team, and interact with external mentors and project managers. These courses also serve as a vehicle to teach other equally important non-technical skills, such as professional and ethical responsibilities in engineering and the impact of engineering in a societal context. Students are required to take both MENG 21800 and 21900 in consecutive quarters given the continuity of the projects and teamwork throughout the Engineering Design sequence.",,,,
MENG 21800,Engineering Design I. 100 Units.,First quarter of Engineering Design.,Autumn,,Instructor consent required,"Mark Stoykovich, Xiaoying Liu, Mustafa Guler, Terry Johnson"
MENG 21900,Engineering Design II. 100 Units.,Second quarter of Engineering Design.,Winter,,MENG 21800,"Mark Stoykovich, Xiaoying Liu, Mustafa Guler, Terry Johnson"
MENG 22100,Quantitative Physiology. 100 Units.,"This course will address the physical principles that govern physiological and biological functions at the organ, tissue, and cellular levels through quantitative models. At the organ and tissue levels, topics will include the cardiovascular and pulmonary systems (organ function, oxygen transport, hemorheology, interstitial and lymphatic transport), skeletal mechanics, and physiology of the kidney, intestine, and liver, as well as tumor physiology. At the cellular level, topics of membrane transport, adhesion and migration mechanics; and cytokine and chemokine signaling will be addressed.",Spring,,"BIOS 20186 and BIOS 20187, or BIOS 20234 and BIOS 20235","Jeffrey Hubbell, Melody Swartz, Huanhuan Chen"
MENG 22400,Bioengineering Kinetics. 100 Units.,This course focuses on the kinetics of biochemical reactions at the molecular level and addresses basic questions at the interface between molecular engineering and cell biology. This course will equip students with the knowledge and tools to quantitatively solve problems in biochemical systems and molecular reactions that are dynamic or at equilibrium.,Spring. Will not be offered in 2024/25 academic year.,"MENG 32400, BIOS 21359",Completion of the first two quarters of a Biological Sciences Fundamentals Sequence,Jun Huang
MENG 23000,Experimental Bioengineering Laboratory. 100 Units.,"This course provides a broad knowledge and hands-on experience in bioengineering and biomaterials. The topics to be covered include the design and characterization of materials for biomaterials, cellular engineering, nanomedicine, synthetic vaccines, immunotherapies, drug delivery, tissue engineering, bioimaging, biodiagnostics and biosensors. This course also includes experimental modules for hands-on experience relevant to the topics discussed in the lectures. Students will develop skills and experience relevant to methodologies in bioengineering research. Chromatography, spectroscopy, mechanical testing, particle size analysis, and protein activity assays will be utilized in the laboratory. Students will learn to apply knowledge of bioengineering research tools to design and conduct bioengineering experiments for which they will analyze, interpret, and present the experimental results.",Spring,MENG 33000,MENG 23100 or MENG 23150,Mustafa Guler
MENG 23100,Biological Materials. 100 Units.,"In this course, students will gain an understanding of the science and application of biomaterials, a field that utilizes fundamental principles of materials science with cell biology for applications in therapeutics and diagnostics. The course will introduce the basic classes of biomaterials, considering metals used in medicine, ceramics and biological inorganic materials such as hydroxyapatite, and polymers used in medicine. The basis of protein adsorption modulating biological interactions with these materials will be elaborated. Examples to be covered in the course will include polymers used in drug delivery, polymers used in protein therapeutics, polymers used in degradable biomaterial implants, polymers used in biodiagnostics, and hybrid and polymeric nanomaterials used as bioactives and bioactive carriers. An emphasis in the course will be placed on bioactive materials development. Students will be assessed through in-class discussions, take-home assignments and exams, and an end-of-term project on a topic of the student's choice.",Autumn,MENG 33100,"BIOS 20186 and BIOS 20187, or BIOS 20234 and BIOS 20235","Jeffrey Hubbell, Mustafa Guler"
MENG 23120,The Structural Basis of Biomolecular Engineering. 100 Units.,"In this highly practical course, students will learn different approaches to interrogate the structure-function relationship of proteins. Essential skills in identifying related protein sequences, performing multiple sequence alignments, and visualizing and interpreting conservation in the context of available structures will be acquired. The most basic method of biomolecular engineering is based on rationale design which uses such knowledge of sequence and structure to predict or explore changes in function in a low throughput manner. Advanced methods that employ evolutionary platforms, such as phage-, ribosome-, and yeast display, will also be introduced for screening large libraries of biomolecules to find variants with a specific function of interest. Additional biomolecular engineering topics to be covered may include computational tools to model and design proteins, protein fusions, enzymatic or chemical modifications to change function, and pharmacokinetics. Students will be assessed through in-class discussion, take-home assignments, exams, and an end-of-term project chosen by the student with approval from the instructor(s).",Spring,MENG 33120,BIOS 20200,Juan Mendoza
MENG 23130,Proteomics and Genomics in Biomolecular Engineering. 100 Units.,"Modern genomic and proteomic technologies are transforming the analysis and engineering of biological systems. One part of the course will introduce the molecular biology of genomics, including how and why next-generation sequencing is used to measure DNA, RNA, and epigenetic patterns. In addition to experimental tools, it will cover key computational concepts for transforming raw genomic data into biologically meaningful data, as well as the application of those results to analyze biological systems. Specific topics will vary but will include single-cell RNA-sequencing and its analysis in different settings. The other part of the course will focus on technologies that enable the identification of proteins and their dysregulation in disease. Examples include mass spectrometry techniques to determine the exact number of proteins in cells, as well as techniques that identify the types and locations of post-translational protein modifications, such as histone methylation, that are frequently associated with diseases such as cancer. Additionally, the course will review methods to discover protein-protein interactions using computational and experimental screening methods. Student assessments will be made through in-class discussion, take-home assignments, exams, and an end-of-term project chosen by the student with approval from the instructor(s).",Autumn,MENG 33130,"BIOS 20200 or equivalent, and experience with data analysis and computation in R or Python (e.g., MENG 26030, BIOS 20151/20152, STAT/CMSC 11800, or STAT 22000).","Juan Mendoza, Samantha Riesenfeld"
MENG 23150,Nanomedicine. 100 Units.,"This course focuses on the applications of nanotechnology in medicine. The chemical, physical and biological features of the nanomaterials will be discussed for applications in medicine. A survey of concepts in therapeutic drug delivery methods, diagnostic imaging agents and cell-materials interactions will be discussed.",Winter,"MENG 33150, BIOS 28410",Completion of the first two quarters of a Biological Sciences Fundamentals Sequence.,Mustafa Guler
MENG 23200,Principles of Immunology. 100 Units.,"In this course students will gain a comprehensive understanding of the essential principles of immunology. The course will introduce the concept of innate immunity and pattern recognition and how antigen is processed for presentation to the immune system. We will examine how antigen presentation links innate and adaptive immunity. We will then discuss the two arms of adaptive immunity (humoral and cellular) in detail from their development to effector stages. In the last section of the course we will discuss some key aspects of immune system function including immunological memory and vaccination, immunological tolerance and its failure (autoimmunity/allergy), and mucosal immunology and the microbiome. Students will present primary articles related to the topics discussed in class in a weekly discussion section. The course will be graded on class participation, quizzes, a midterm, and a final essay-based exam.",Autumn,MENG 33200,BIOS 20186 or BIOS 20234 (or equivalent undergraduate coursework with the permission of the instructor),Cathryn Nagler
MENG 23310,Immunoengineering Laboratory. 100 Units.,"The goal of this laboratory course is to provide students with an original and hands-on research experience in the fields of immunoengineering and synthetic immunology, whereby new molecules will be designed and tested by students in the lab to probe or control immune processes. Specifically, students will study how newly discovered cancer vaccines work. The course will cover wet lab techniques to manipulate and analyze DNA, proteins, and cells, including next-generation sequencing, genome editing, cellular imaging, and nanobodies. In addition, computational tools will be used for processing and analyzing the data generated by students during class. The outcome of students' research during this class will help decipher the inner workings of successful anti-tumor vaccines, which is important to inform future cancer immunotherapies",Winter,MENG 33310,Completion of the first two quarters of a Biological Sciences Fundamentals Sequence. Prior molecular and cellular biology wet lab work experience is an advantage but not required.,Nicolas Chevrier
MENG 23330,Immunogenomics II: Data Science in Systems Immunology. 100 Units.,"This course presents essential concepts in genomic data science and trains students to apply the concepts in immunological contexts. The course encourages students to think independently about genomic analyses. Students will gain an understanding of how to use basic statistics, linear algebra, and computation to explore, analyze, and interpret published RNA-sequencing data (bulk and single-cell) and immune-cell receptor sequencing data. Student performance will be assessed through in-class discussions, take-home assignments and exams, and an end-of-term final project of the student's choice.",Spring,"MENG 33330, IMMU 48900","Basic programming skills in R or Python, including control structures, data loading and saving, creating basic plots, and working with data frames. Basic molecular biology, including the central dogma.","Samantha Riesenfeld, Joshua Weinstein"
MENG 23500,Synthetic Biology. 100 Units.,"The objective of this course is to provide an overview of the fundamentals of synthetic biology by exploration of published and primary literature. Synthetic biology is an interdisciplinary area that involves the application of engineering principles to biology. It aims at the (re-)design and fabrication of biological components and systems that do not already exist in the natural world. Our goal in the course will be to examine how to apply design principles to biological systems. This will require understanding how biological systems operate, what design principles are successful in biology, and a survey of current approaches in the field to tackle these challenges. Topics will include genetic manipulation, pathway engineering, protein design, cellular engineering, and tools for information input and output in biological systems.",Spring,MENG 33500,"Completion of the first two quarters of a Biological Sciences Fundamentals Sequence. MENG 21500, BIOS 20236, and BIOS 20200 are recommended but not required.",Aaron Esser-Kahn
MENG 23510,Microfluidics and Its Applications. 100 Units.,"Precision control of fluids at the micrometer scale (hence microfluidics) provides unprecedented capabilities in manipulation and analysis of cells and proteins. Moreover, fluids and particles behave in fundamentally different ways when confined to small dimensions, making microfluidics an interesting topic of basic research. This course aims to provide students with theoretical knowledge and practical skills on the use of microfluidics for the manipulation and analysis of physical, chemical, and biological systems. We will first survey theoretical concepts regarding microfluidics. We will then focus on design considerations and fabrication methods for multi-layer microfluidic chips using PDMS soft-lithography. We will learn how to fabricate, multiplex, and control PDMS membrane valves and integrate them into high-throughput analytical systems. We will survey recent developments in microfluidics and its scientific and industrial applications. Biological systems analysis in cell sorting, culture, cell signaling, single molecule detection, digital nucleic acid and protein quantification, and biosensing are some of the applications we will cover. This course will have a laboratory component where students will design, fabricate, and use microfluidic devices and therefore acquire hands-on skills in microfluidic engineering.",Spring. Will not be offered in 2024/25 academic year.,MENG 33510,"MATH 13300 (or higher), or MATH 13200 (or higher) plus BIOS 20151 or BIOS 20152 or BIOS 20236",Savas Tay
MENG 24100,Molecular Engineering Thermodynamics of Phase Equilibria. 100 Units.,"This course addresses the thermodynamics of mixtures and their phase equilibria (e.g., vapor-liquid, liquid-liquid, and solid-liquid equilibria). It includes an introduction to the theory of phase equilibria and stability for mixtures, the concepts of activity and fugacity for describing non-ideal systems, an introduction to molecular models and the prediction of thermodynamic properties from such models, as well as the importance of such topics for engineering applications including separation processes such as distillation, extraction, and membrane osmosis. The course has a laboratory component that includes characterizing vapor-liquid equilibria in distillation processes, experimentation with surface adsorption, and measurements of solubility. (Lab)",Autumn,,MENG 21400 or CHEM 26200 or PHYS 27900,Chibueze Amanchukwu
MENG 24200,Molecular Transport Phenomena II: Fluid Flow and Convective Transport Processes. 100 Units.,"This course will cover topics related to fluid flow and convective mass and heat transport relevant to describing chemical and biological systems. First, students learn how bulk fluid flow (velocity) is related to the transport of momentum through the application of the Navier-Stokes equation and boundary conditions. Second, fluid flow is described to understand the role of viscous forces on the formation of boundary layers near surfaces. The primary focus is on the laminar flow of Newtonian fluids, but relevant conditions leading to turbulent flow are touched upon. Standard examples such as Poiseuille flow, falling films, and flow around a sphere are covered. Third, the concepts of bulk fluid flow and boundary layer are extended to describe convective mass (concentration) and heat (temperature) transport processes. Students learn how fluid motion contributes to the flux of chemical species and the transfer of heat. Lastly, the course has a laboratory component that reinforces fundamental concepts covered in the lectures. Laboratory exercises include measurement of viscosity, Hagen-Poiseuille flow in tubes, and fabrication and assembly of microfluidic devices.",Winter,,MENG 21500,Shrayesh Patel
MENG 24300,Molecular Modeling. 100 Units.,"This course will introduce students to the methods of quantum and classical molecular modeling and simulation. The course will be delivered primarily through project-based learning using popular quantum mechanical (e.g., Quantum Espresso) and classical mechanical (e.g., Gromacs, LAMMPS) simulation packages. Students will also develop proficiency in the command line interface and shell scripting. The course will prioritize the physical principles underlying the methods to confer an understanding of their applicability and limitations, and hands-on immersive praxis to give students the confidence and expertise to independently use these tools.",Spring,,"MENG 21400 and MENG 21500, or instructor consent",Andrew Ferguson
MENG 24400,Chemical Kinetics and Reaction Engineering. 100 Units.,"This course introduces the fundamental concepts of reaction kinetics, from the molecular mechanisms and reaction rates of chemical reactions to its applied aspects in the reaction engineering of complex chemical systems. Course topics will include elementary reactions and rate laws, collision theory, transition state theory, reaction dynamics, complex reacting systems, the steady-state hypothesis, heterogeneous catalysis, and diffusion-limited systems. The course will draw upon examples of industrial-scale chemical processes to consider the impact of kinetics on the engineering of batch and continuous-flow reactors.",Spring,,MENG 21400 (or CHEM 26200 or PHYS 27900) and MENG 21500,Xiaoying Liu
MENG 25100,Introduction to Polymer Science. 100 Units.,"This course introduces the basics of polymer materials and their behavior and properties. The course will cover a general overview to polymers, basic terminology and definitions, their classification, and their applications. The mechanistic and kinetic behavior of the major classes of polymerization reactions (step-growth, chain addition, and ""living"" polymerizations) will be introduced with respect to control over polymer structure/architecture, size, and properties. The course will also discuss polymer properties, polymer thermodynamics, and basic structure-property relationships that provide polymers with their unique characteristics compared to small molecules. Techniques for characterizing the chemical and physical properties of polymer solutions will be introduced, including osmometry, viscometry, and gel permeation chromatography.",Autumn,MENG 35100,MENG 21400 or CHEM 26200 or PHYS 27900,Paul Nealey
MENG 25120,Polymer Physics. 100 Units.,"This course is an advanced introduction to polymer physics taught at a level suitable for senior undergraduates and graduate students in STEM fields. Topics that will be covered include the statistics and conformations of linear chain molecules; polymer brushes; thermodynamics and dynamics of polymers, polymer blends and polymer solutions; phase equilibria; networks, gels, and rubber elasticity; linear viscoelasticity; and thermal and mechanical properties.",Spring. Will not be offered in 2024/25 academic year.,MENG 35120,MENG 25100,Paul Nealey
MENG 25130,Soft Matter Characterization Laboratory. 100 Units.,"The goal of this course is to train students in the fundamental experimental approaches to polymer and soft materials characterization. The course will cover both the theory and practice of techniques focused on three themes: molar mass determination (size exclusion chromatography, laser light scattering, NMR spectroscopy); morphology and structure (x-ray scattering, electron microscopy, atomic force microscopy); and thermo-mechanical properties (calorimetry, thermogravimetry, dynamic mechanical analysis, rheometry, tensile testing). Contextual application of these characterization techniques to modern research problems will be introduced. Through this course, students will develop foundational experimental skills necessary for addressing research challenges in modern polymer and soft materials science and engineering.",Spring,MENG 35130,MENG 25100,Philip Griffin
MENG 25140,"Functional Polymers for Electronics, Photonics, and Energy Technology. 100 Units.","In this course, students will learn the fundamental principles of the functional properties of polymers that enable their use in electronics, photonics and energy technology. The topics mainly include electron and ion transport properties, relationships between chemical structures and energy band structures, photo-excitation properties, luminescent properties, thermoelectric property, ferroelectric and ferromagnetic properties, as well as the associated device categories of organic field-effect transistors, organic light-emitting diodes, lasers, electrochromic devices, photovoltaic cells, and photodetectors.",Winter,MENG 35140,"MENG 25100 (or MENG 35100), AND CHEM 22000 and CHEM 22100",Sihong Wang
